Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05
1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6
0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45
0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85
0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6
1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8
0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6
1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4
1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9
0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25
1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75
1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5
1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65
0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,104.95
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85
1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95
0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,85.45
0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95
1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6
1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,81.35
0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3
0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3
0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4
1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4
0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55
0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05
1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15
1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8
0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.0
0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7
1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25
1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1
0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0
0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3
0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,83.55
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35
0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4
1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75
0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45
0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,99.7
0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1
1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2
0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5
0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35
1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,104.8
0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2
0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,75.6
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05
0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0
1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,86.05
1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55
1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3
1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35
0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25
1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3
0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.0
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2
0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7
0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65
0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,105.25
1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95
0,0,1,0,9,1,0,0,2,2,2,2,0,0,0,0,3,65.0
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,20.0
1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05
1,1,1,0,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75
0,0,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,105.5
1,1,1,0,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55
1,0,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,85.25
0,0,1,0,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55
1,1,1,0,20,1,2,1,0,0,0,0,2,2,0,1,2,94.55
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7
0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6
0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65
1,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,69.65
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,45.65
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,75.05
1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,49.15
0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,34.7
1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0
1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,49.25
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.1
1,0,1,0,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15
0,0,0,0,25,1,0,1,2,2,0,0,0,0,0,1,0,79.85
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55
0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.95
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.35
1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,94.5
0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7
0,0,0,0,45,1,2,1,0,0,2,2,0,0,0,1,2,87.25
1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,98.55
1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,98.55
0,0,0,0,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9
0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25
1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3
1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9
0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,88.9
1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8
1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.35
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2
0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,110.0
1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75
0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,98.5
1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35
1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55
1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25
1,0,0,0,70,1,2,1,2,0,0,2,2,2,2,1,1,104.0
0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,3,86.2
1,0,1,0,21,1,2,1,0,2,2,2,2,2,0,1,2,111.2
0,0,1,0,16,1,0,1,0,2,2,0,2,0,0,1,1,89.45
1,1,1,0,7,1,2,1,0,0,0,0,2,2,0,1,0,95.6
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4
0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.0
0,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9
0,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,50.8
1,1,1,0,20,1,0,1,0,2,0,0,0,0,0,1,2,73.65
0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,1,2,95.1
1,0,0,0,22,1,2,1,0,0,0,0,2,2,0,1,1,94.65
1,0,1,0,4,1,0,1,0,0,2,2,0,0,0,1,3,80.6
1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55
0,0,0,0,60,0,1,0,0,2,0,0,2,2,0,1,2,50.8
0,0,0,0,15,1,0,1,2,0,2,2,2,2,0,0,2,105.1
1,0,0,0,10,1,0,1,2,2,2,2,2,2,0,1,2,110.1
0,0,0,0,6,1,0,1,0,0,2,0,0,2,0,0,2,83.9
0,0,1,0,63,1,2,1,2,2,2,0,2,0,0,1,2,100.55
1,0,1,0,50,1,2,1,0,2,2,0,2,2,0,1,0,103.85
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6
0,0,0,0,12,1,0,1,2,0,0,2,2,2,0,1,0,98.9
0,0,0,0,9,1,2,1,0,0,2,0,2,2,0,0,1,98.3
1,0,0,0,17,1,0,1,2,0,0,0,2,2,0,0,2,93.85
1,1,0,0,9,1,2,1,0,0,2,0,2,2,0,1,2,100.5
1,1,0,0,10,1,0,1,0,2,0,0,0,0,0,1,2,72.85
1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.55
0,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,79.4
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,81.15
0,1,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,84.6
0,0,0,0,6,1,2,1,2,0,0,0,0,0,0,1,2,79.05
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,74.4
1,1,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,99.05
1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,44.95
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,44.7
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7
1,1,0,0,8,1,0,1,2,0,0,2,2,2,0,0,1,100.3
1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,2,19.25
0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,96.0
0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,90.55
1,1,1,0,44,0,1,0,0,2,0,0,0,0,0,1,2,30.35
1,0,0,0,71,1,2,1,2,0,2,2,2,2,2,1,2,108.05
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9
1,1,1,0,62,1,2,1,0,2,2,0,2,2,1,1,2,103.75
1,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,86.6
0,1,1,0,33,1,2,1,0,2,0,0,0,0,0,1,0,80.6
0,0,0,0,35,1,2,1,0,2,0,2,0,0,0,0,1,85.3
0,0,0,0,34,1,0,1,0,0,0,0,0,0,0,1,1,70.0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3
0,0,0,0,7,1,0,1,0,0,2,0,2,2,0,1,2,95.35
1,1,1,0,27,1,2,1,0,0,0,0,0,0,0,1,2,75.5
0,0,0,0,18,1,2,1,0,0,0,2,0,2,0,1,2,90.1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,68.95
1,0,1,0,32,1,2,1,2,0,0,0,2,2,0,1,1,99.55
1,0,1,0,18,1,0,0,0,0,2,0,0,2,0,0,2,57.45
1,0,1,0,12,1,0,0,0,0,0,0,0,2,1,0,1,53.65
1,1,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,100.6
1,0,1,0,26,1,2,1,0,0,0,0,2,0,0,1,2,83.75
0,1,1,0,3,1,0,1,2,0,0,2,2,0,0,1,3,88.3
0,1,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,92.1
1,0,1,0,38,1,0,1,2,2,0,0,0,0,0,1,2,79.45
1,1,0,0,14,1,0,1,0,0,0,0,2,2,0,0,1,90.45
1,0,1,0,32,1,0,1,0,0,0,0,0,0,0,1,0,69.75
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.65
1,1,0,0,12,0,1,0,0,0,2,2,0,2,0,1,2,43.65
0,0,0,0,5,0,1,0,0,0,2,0,0,2,0,0,2,39.5
1,0,1,0,40,1,2,1,0,0,0,0,2,2,0,1,0,97.1
0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,1,2,80.0
0,0,0,0,10,1,0,1,2,0,0,0,2,0,0,1,3,84.7
1,0,1,0,2,1,0,1,0,0,0,0,2,2,0,1,0,89.55
1,0,0,0,23,1,2,1,0,0,0,2,2,0,0,1,2,90.6
0,0,0,0,23,1,2,1,2,0,0,0,2,0,0,1,0,90.05
1,0,1,0,49,1,2,1,0,2,0,0,2,2,0,1,0,99.05
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,69.75
0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,1,49.05
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05
0,0,0,0,41,1,2,1,2,2,2,2,2,2,0,1,0,114.5
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.95
0,1,0,0,13,1,0,1,0,0,2,0,0,0,0,1,2,74.3
0,1,0,0,11,1,0,1,0,0,0,0,2,2,0,0,0,89.7
1,1,1,0,17,1,2,1,0,0,2,0,2,2,0,1,1,100.45
1,0,1,0,25,1,0,1,0,0,0,0,2,2,1,1,2,90.4
1,0,1,0,3,1,0,0,0,2,2,0,0,0,0,1,3,56.15
0,0,0,0,4,1,0,1,2,0,2,2,0,2,0,1,0,94.4
0,0,1,0,37,1,2,1,0,0,2,0,0,0,0,1,1,78.95
0,0,0,0,19,0,1,0,0,0,0,0,2,2,1,1,1,44.85
1,1,1,0,39,1,2,1,0,2,2,0,2,2,0,1,2,105.65
1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,0,3,74.65
0,0,1,0,14,1,2,0,2,0,0,0,2,0,0,1,0,64.7
0,1,1,0,11,1,2,1,0,0,2,2,2,2,0,1,0,104.05
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.55
0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,95.15
1,0,1,0,13,1,0,1,0,0,2,0,2,2,0,1,3,96.65
0,1,1,0,3,1,0,1,0,0,0,0,2,0,0,1,2,80.4
1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,3,31.35
0,0,0,0,12,1,2,1,0,2,0,0,2,0,0,1,0,89.75
1,0,1,0,60,1,0,1,0,2,0,0,2,2,1,1,2,94.4
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,2,19.85
0,0,0,0,6,1,2,1,0,2,2,2,2,2,0,1,1,109.9
1,0,0,0,15,1,0,1,0,0,2,2,2,2,0,1,2,101.35
1,1,0,0,21,1,0,0,0,0,2,0,2,0,0,1,0,60.05
0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,1,2,60.15
1,0,0,0,7,1,2,1,0,0,2,0,2,0,0,1,2,90.45
1,0,1,0,17,1,0,1,0,0,0,0,0,0,0,1,2,69.0
0,0,1,0,11,1,2,0,0,0,0,2,0,2,0,1,2,66.35
1,0,0,0,19,1,2,1,0,0,0,0,0,2,0,1,0,86.0
0,0,1,0,3,1,0,1,0,0,0,0,0,2,0,1,2,80.3
1,0,0,0,24,1,2,1,0,2,0,0,2,0,0,1,1,90.55
0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,75.9
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.85
0,0,1,0,16,0,1,0,0,0,0,2,2,2,0,1,2,49.95
1,0,1,0,34,1,0,1,0,0,0,0,2,0,0,0,2,78.3
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,76.95
0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.15
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.3
0,0,0,0,15,1,0,2,1,1,1,1,1,1,0,0,0,19.4
0,0,0,0,11,1,2,1,0,0,0,2,2,0,0,0,2,90.15
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.05
0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,2,75.8
0,0,0,0,7,1,0,1,0,0,0,0,0,2,0,1,2,79.3
0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,2,30.9
0,1,0,0,46,1,0,1,0,2,0,0,2,2,1,0,1,95.25
0,1,1,0,68,1,2,1,0,2,0,0,0,2,0,1,0,89.6
1,0,1,0,59,1,2,1,2,2,2,0,2,2,1,1,2,110.15
1,1,1,0,7,1,0,1,0,0,0,0,2,2,0,1,2,89.5
1,0,1,0,8,1,0,1,2,0,0,0,0,0,0,0,2,75.0
1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,44.75
0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,1,2,44.05
1,1,1,0,15,1,2,1,0,0,0,0,0,2,0,1,0,85.6
0,0,0,0,70,1,2,1,2,2,2,2,2,2,1,0,1,115.55
1,1,0,0,16,1,2,1,0,0,0,0,2,0,0,1,2,86.6
0,0,0,0,18,1,2,1,0,0,0,0,2,0,0,1,2,85.2
0,0,1,0,34,1,2,1,0,0,0,0,2,2,0,1,2,97.65
1,0,1,0,47,1,2,1,0,2,2,2,2,2,0,1,2,109.55
0,0,1,0,39,1,2,1,0,2,2,2,0,0,1,1,2,89.55
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.45
0,0,1,0,4,1,0,2,1,1,1,1,1,1,0,0,3,20.35
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.25
1,0,1,0,59,1,2,1,0,0,2,0,2,2,1,1,0,99.5
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.2
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,45.0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15
1,0,1,0,66,1,2,1,0,2,2,0,2,2,0,1,1,105.0
1,0,0,0,3,1,0,0,0,0,0,0,2,0,0,1,1,54.7
0,0,1,0,14,1,2,1,0,0,2,0,0,2,0,1,2,87.25
1,0,1,0,10,1,0,1,0,0,0,0,2,0,0,1,2,79.95
0,0,0,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.35
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,1,2,94.75
0,1,0,0,13,1,2,1,0,0,0,0,2,2,0,1,2,95.05
1,0,0,0,4,1,2,1,0,2,0,0,0,0,0,0,2,78.45
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.2
1,0,1,0,59,0,1,0,0,2,0,0,0,2,0,1,0,41.05
1,0,1,0,10,1,2,1,0,0,0,0,2,0,0,1,2,85.6
0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.2
1,0,0,0,5,1,0,0,0,0,2,0,2,2,1,1,3,70.0
0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,49.95
0,0,1,0,22,1,0,1,0,0,0,0,0,0,0,1,2,69.25
0,1,1,0,34,1,2,1,0,2,2,0,0,2,0,1,2,94.25
1,0,1,0,41,1,2,0,0,0,2,0,2,2,1,1,2,73.0
0,0,0,0,64,1,2,1,0,0,2,0,2,2,1,1,1,100.05
0,1,0,0,4,1,0,1,0,2,2,0,2,2,0,1,1,99.8
